imdb_id,title,rating,link,votes,genre,cast,runtime,type,netflix,plot,keywords,release,year,poster,youtube
tt12838766,Seungriho,6.6,https://www.imdb.com/title/tt12838766,20100,"Action, Adventure, Drama","['Song Joong-ki', 'Kim Tae-ri', 'Jin Seon-kyu']",136,Movie,None,"Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business dea","space-pirate, android, robot, oxygen-mask, year-2092, morgue, dead-girl, gas-mask, work-visa, space-elevator, weightless, orbiting-habitat, uts-company, oxygen-producing-plant, one-uts-dollar-bill",05 Feb 2021,2021,https://m.media-amazon.com/images/M/MV5BZTUxN2M3ZWYtMzc1MC00NTc4LWFhZDItMzViZDg2NmFjMzBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,None
tt9110170,Wrong Turn,5.5,https://www.imdb.com/title/tt9110170,17014,"Horror, Thriller","['Charlotte Vega', 'Adain Bradley', 'Bill Sage', 'Emma Dumont']",109,Movie,None,"Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.","woods, gay-character, gay-couple, secret-society, trial, father-searches-for-missing-daughter, group-of-six, appalachian-trail, group-of-friends, cave, mercy-killing, community, booby-trap, father, cult",26 Jan 2021,2021,https://m.media-amazon.com/images/M/MV5BM2Y5ZWE2MTMtODE3ZC00NWQ4LWJkNzctNGY4Njg5NDY5MzNlXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_SX300.jpg,None
tt9140560,WandaVision,8.1,https://www.imdb.com/title/tt9140560,187088,"Action, Comedy, Drama","['Elizabeth Olsen', 'Paul Bettany', 'Kathryn Hahn']",350,Series,None,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.","disney-plus, based-on-comic, superheroine, vision-character, 1950s, marvel-comics, based-on-comic-book, marvel-cinematic-universe, superhero, scarlet-witch-character, disney-marvel, magic, disney, 1960s, 1970s",15 Jan 2021,2021,https://m.media-amazon.com/images/M/MV5BZGEwYmMwZmMtMTQ3MS00YWNhLWEwMmQtZTU5YTIwZmJjZGQ0XkEyXkFqcGdeQXVyMTI5MzA5MjA1._V1_SX300.jpg,None
tt6902332,The Marksman,5.6,https://www.imdb.com/title/tt6902332,15511,"Action, Drama, Thriller","['Katheryn Winnick', 'Liam Neeson', 'Teresa Ruiz']",108,Movie,None,"A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.","boy, gun, shooting, ammunition, pistol, rifle, film-released-during-covid-19, burning-money, money, ranch, border, immigrant, narco, chase, border-patrol",15 Jan 2021,2021,https://m.media-amazon.com/images/M/MV5BODdlNThhMTUtNmU1OS00ZjM3LWE1ZjMtOWViN2RhYWRiZTg5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,None
tt6878306,News of the World,6.8,https://www.imdb.com/title/tt6878306,66057,"Action, Adventure, Drama, Western","['Tom Hanks', 'Helena Zengel', 'Tom Astor', 'Travis Johnson']",118,Movie,https://www.netflix.com/title/81210670,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","rescue, wild-west, cowboy, sandstorm, texas, native-american, soldier, buffalo, usa, united-states, on-the-road, american-indian, year-1879, american-civil-war-veteran, captain",25 Dec 2020,2020,https://m.media-amazon.com/images/M/MV5BMDNlNmVlNDItMjE3Yi00ZTA3LWIyOTktNDhhMGFlZjk5ZDQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,None
tt7126948,Wonder Woman 1984,5.4,https://www.imdb.com/title/tt7126948,211420,"Action, Adventure, Fantasy","['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal']",151,Movie,None,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.","sequel, superhero, dc-extended-universe, princess, dc-comics, one-woman-army, action-heroine, 1980s, superheroine, based-on-comic-book, wonder-woman-character, female-superhero, warrior, one-against-many, greed",25 Dec 2020,2020,https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SX300.jpg,None
tt11057644,The Christmas Chronicles: Part Two,6.0,https://www.imdb.com/title/tt11057644,24123,"Adventure, Comedy, Family, Fantasy","['Kurt Russell', 'Goldie Hawn', 'Darby Camp', 'Julian Dennison']",112,Movie,https://www.netflix.com/title/80988988,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.","christmas, santa-claus, second-part, sequel, numbered-sequel, christmas-in-title, holiday-in-title, saving-christmas, christmas-movie, christmas-season, slimehouse",25 Nov 2020,2020,https://m.media-amazon.com/images/M/MV5BMGJiZDc1OWMtNzMwMC00NzM0LTljMDgtZGJjODVhZDMzMmJjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,None
tt10618286,Mank,6.9,https://www.imdb.com/title/tt10618286,62108,"Biography, Comedy, Drama","['Gary Oldman', 'Amanda Seyfried', 'Lily Collins', 'Tom Pelphrey']",131,Movie,None,"1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).","1930s, 1940s, screenwriter, alcoholic, los-angeles-california, reference-to-battle-of-hastings, reference-to-william-shakespeare, reference-to-thomas-jefferson, funeral, hollywood-california, reference-to-herman-mankiewicz, politics, writer, writing, birthday",04 Dec 2020,2020,https://m.media-amazon.com/images/M/MV5BZTllMjI0ZGYtM2FmZC00ZmY4LTlkNTYtZThlOWQ1OGQyZTA3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,None
tt10048342,The Queen's Gambit,8.6,https://www.imdb.com/title/tt10048342,326472,"Drama","['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp']",395,Series,https://www.netflix.com/title/80234304,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","addiction, chess, female-protagonist, 1950s, orphanage, girl-power, tv-mini-series, tranquilizer, 1960s, period, russia, speed-chess, mexico-city, paris-france, moscow-russia",23 Oct 2020,2020,https://m.media-amazon.com/images/M/MV5BM2EwMmRhMmUtMzBmMS00ZDQ3LTg4OGEtNjlkODk3ZTMxMmJlXkEyXkFqcGdeQXVyMjM5ODk1NDU@._V1_SX300.jpg,None
tt13143964,Borat Subsequent Moviefilm,6.7,https://www.imdb.com/title/tt13143964,124711,"Comedy","['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu']",95,Movie,None,"Borat returns from Kazakhstan to America and this time he reveals more about the American culture, the COVID-19 pandemic and the political elections.","disguise, covid-19, coronavirus, fax-machine, making-fun-of-americans, reference-to-the-holocaust, cage, patient-zero, right-winger, hick, trump-supporter, sequel, interview, long-title, human-in-a-cage",23 Oct 2020,2020,https://m.media-amazon.com/images/M/MV5BNmY3OTdkOWEtNjc2ZC00OTZmLWI5OWItMjdjYjRkNTExNDNhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,None
tt2222042,Love and Monsters,7.0,https://www.imdb.com/title/tt2222042,93829,"Action, Adventure, Comedy, Fantasy, Sci-Fi","['Dylan O`Brien', 'Jessica Henwick', 'Michael Rooker', 'Dan Ewing']",109,Movie,https://www.netflix.com/title/81277430,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.","survival, monsters, dog, monster, teenager, jungle, beach, boat, orphan, apocalypse, crossbow, giant-frog, giant-crab, post-apocalypse, love",16 Oct 2020,2020,https://m.media-amazon.com/images/M/MV5BYWVkMWEyMDUtZTVmOC00MTYxLWE1ZTUtNjk4M2IzMjY2OTIxXkEyXkFqcGdeQXVyMDk5Mzc5MQ@@._V1_SX300.jpg,None
tt2948372,Soul,8.1,https://www.imdb.com/title/tt2948372,257180,"Animation, Adventure, Comedy","['Jamie Foxx', 'Tina Fey', 'Graham Norton']",100,Movie,None,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","jazz, purpose, cat, jazz-musician, musician, music-teacher, falling-into-a-manhole, soul, lost-soul, badge, afterlife, meaning-of-life, a-film-about-the-meaning-of-human-life, subway, subway-train",25 Dec 2020,2020,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_SX300.jpg,None
tt10919380,Freaky,6.3,https://www.imdb.com/title/tt10919380,32665,"Comedy, Horror, Thriller","['Vince Vaughn', 'Kathryn Newton', 'Celeste O`Connor', 'Misha Osherovich']",102,Movie,None,"After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.","body-swap, slasher-killer, violence, black-comedy, gore, femme-fatale, gay-kiss, gay-teen-kiss, body-change, closeted-gay, aztec-artifact, aztec-pyramid, teen-horror, first-kiss, f-rated",13 Nov 2020,2020,https://m.media-amazon.com/images/M/MV5BMTRkYmJlY2ItNmFlZi00OWVhLTg1ZTctOGE0MjM5ZGMwMmY4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,None
tt10682266,Hubie Halloween,5.2,https://www.imdb.com/title/tt10682266,41321,"Comedy, Mystery","['Adam Sandler', 'Kevin James', 'Julie Bowen', 'Ray Liotta']",102,Movie,https://www.netflix.com/title/80245104,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.","bully, halloween, prank, halloween-decoration, halloween-party, corn-maze, thermos, tin-man-costume, headless-costume, haunted-house-attraction, escaped-mental-patient, reference-to-the-warriors, mother-son-relationship, protective-mother, bullying",07 Oct 2020,2020,https://m.media-amazon.com/images/M/MV5BMTE0N2EyMzgtMWJhZS00ZWNmLThjZmQtMjcxYTk1NTJiMGVkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,None
tt10288566,Another Round,7.8,https://www.imdb.com/title/tt10288566,84831,"Comedy, Drama","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']",117,Movie,None,"Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.","heavy-drinking, drinking, teacher, high-school, friendship, restaurant, alcohol, alcohol-consumption, husband-wife-relationship, drunkenness, alcoholism, midlife-crisis, thesis, dancing, drinking-at-work",18 Dec 2020,2020,https://m.media-amazon.com/images/M/MV5BOTNjM2Y2ZjgtMDc5NS00MDQ1LTgyNGYtYzYwMTAyNWQwYTMyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,None
tt9770150,Nomadland,7.4,https://www.imdb.com/title/tt9770150,105623,"Drama","['Frances McDormand', 'Gay DeForest', 'Patricia Grier', 'Linda May']",107,Movie,None,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","living-in-a-van, van, nomad, economic-recession, loneliness, road-movie, female-frontal-nudity, female-nudity, nudity, female-protagonist, community, on-the-road, desert, nevada, folding-chair",19 Feb 2021,2020,https://m.media-amazon.com/images/M/MV5BMDRiZWUxNmItNDU5Yy00ODNmLTk0M2ItZjQzZTA5OTJkZjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,None
tt7395114,The Devil All the Time,7.1,https://www.imdb.com/title/tt7395114,105840,"Crime, Drama, Thriller","['Tom Holland', 'Bill Skarsgård', 'Riley Keough', 'Jason Clarke']",138,Movie,https://www.netflix.com/title/81028870,"Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.","male-full-frontal-nudity, neo-noir, male-rear-nudity, evil, post-war, death-after-sex, hitch-hiking, negative-film, abused, cross, grave-site, solomon-islands, dog-tags, riding-a-bus, flashback",16 Sep 2020,2020,https://m.media-amazon.com/images/M/MV5BZmE1NmVmN2EtMjZmZC00YzAyLWE4MWEtYjY5YmExMjUxODU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,None
tt1838556,Honest Thief,6.0,https://www.imdb.com/title/tt1838556,37281,"Action, Crime, Drama, Thriller","['Liam Neeson', 'Kate Walsh', 'Jai Courtney', 'Jeffrey Donovan']",99,Movie,None,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","film-released-during-covid-19, love, criminal-past, dog, corrupt-fbi-agent, divorcee, taped-confession, playground, bank-robbery, falling-in-love, confession, naivety, false-promise, collateral-damage, time-jump",16 Oct 2020,2020,https://m.media-amazon.com/images/M/MV5BZjEwNjYyMTMtODc5Yi00NTg5LTkwMzAtZTkyOTcyNTFkMGIyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,None
tt4532038,The War with Grandpa,5.6,https://www.imdb.com/title/tt4532038,15548,"Comedy, Drama, Family","['Robert De Niro', 'Uma Thurman', 'Rob Riggle', 'Oakes Fegley']",94,Movie,None,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.","mother-son-relationship, christmas, room, family-conflict, family-relationships, grandfather-grandson-relationship, grandfather-grandson-conflict, brother-sister-relationship, father-son-relationship, father-daughter-relationship, mother-daughter-relationship, attic, love, family-feud, friendship",09 Oct 2020,2020,https://m.media-amazon.com/images/M/MV5BNTlkZDQ1ODEtY2ZiMS00OGNhLWJlZDctYzY0NTFmNmQ2NDAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,None
tt6723592,Tenet,7.4,https://www.imdb.com/title/tt6723592,369622,"Action, Sci-Fi, Thriller","['Juhan Ulfsak', 'Jefferson Hall', 'Ivo Uukkivi', 'Andrew Howard']",150,Movie,None,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","time-paradox, car-chase, espionage, time-reversal, bearded-man, car-crash, swat-team, palindrome-title, symphony-hall, terrorism, spy, propaganda, written-by-director, produced-by-director, title-spoken-by-character",03 Sep 2020,2020,https://m.media-amazon.com/images/M/MV5BYzg0NGM2NjAtNmIxOC00MDJmLTg5ZmYtYzM0MTE4NWE2NzlhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,None
tt10986410,Ted Lasso,8.7,https://www.imdb.com/title/tt10986410,56522,"Comedy, Drama, Sport","['Jason Sudeikis', 'Hannah Waddingham', 'Brendan Hunt', 'Jeremy Swift']",30,Series,None,"Follows U.S. American football coach Ted Lasso who heads to the U.K. to manage a struggling London football team in the top flight of English football.","football, football-manager, assistant-coach, american-abroad, american-in-england, soccer, soccer-coach, soccer-team, soccer-stadium, soccer-club, soccer-club-owner, football-club-owner, soccer-match, soccer-player, soccer-practice",14 Aug 2020,2020,https://m.media-amazon.com/images/M/MV5BY2MxYjVlNzAtMDdhOS00N2U2LThlYWQtN2MwMWJjYjFhYzM5XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,None
tt7737786,Greenland,6.4,https://www.imdb.com/title/tt7737786,88549,"Action, Drama, Thriller","['Gerard Butler', 'Morena Baccarin', 'Roger Dale Floyd', 'Scott Glenn']",119,Movie,None,"A family struggles for survival in the face of a cataclysmic natural disaster.","natural-disaster, looting, apocalypse, disaster-film, comet, killer-comet, airplane, husband-wife-relationship, greenland, father-in-law-son-in-law-relationship, bunker, death, rescue, panic, diabetes",18 Dec 2020,2020,https://m.media-amazon.com/images/M/MV5BMzcyMzU4MDUtM2JhOC00ZDg2LTg5MGMtZjc2OGMyMjhlMGE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,None
tt6508228,Ghosts of War,5.5,https://www.imdb.com/title/tt6508228,7672,"Horror, Thriller, War","['Brenton Thwaites', 'Kyle Gallner', 'Alan Ritchson', 'Theo Rossi']",94,Movie,None,"Five American soldiers assigned to hold a French Chateau near the end of World War II. This unexpected respite quickly descends into madness when they encounter a supernatural enemy more terrifying than anything seen on the battlefield.","world-war-two, spoiler-simulation, family-massacre, afghanistan-war, wrathful, nazi, reference-to-rocky-graziano, shot-in-the-head, jeep, explosion, reference-to-coney-island, chateau, waking-up-from-a-nightmare, journal, simulation",17 Jul 2020,2020,https://m.media-amazon.com/images/M/MV5BMjAzYWVmN2QtOWM0Yi00ZTJiLWFkNzItOThmYTkxYzUzYTQyXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,None
tt10059518,Unhinged,6.0,https://www.imdb.com/title/tt10059518,51418,"Action, Thriller","['Russell Crowe', 'Caren Pistorius', 'Gabriel Bateman', 'Jimmi Simpson']",90,Movie,None,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.","stabbed-in-the-eye-with-scissors, driving, road-rage, psychopath, car-chase, stalking, intimidation, mother-son-relationship, violence, stalker, scissors, setting-a-house-on-fire, stolen-cell-phone, vomiting, scissors-as-a-weapon",21 Aug 2020,2020,https://m.media-amazon.com/images/M/MV5BYjc1Mjg5NjItY2I2MS00NDk3LWI5NGYtNzZjNTNiZmMwZTA3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,None
tt12749596,Host,6.5,https://www.imdb.com/title/tt12749596,21003,"Horror, Mystery","['Haley Bishop', 'Jemma Moore', 'Emma Louise Webb', 'Radina Drandova']",57,Movie,None,"Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.","laptop-screen, evil, death, paranormal-entity, computer-screen, fear, friend, found-footage, quarantine, computer, smartphone, music-box, laptop, group-of-friends, mysterious-noise",30 Jul 2020,2020,https://m.media-amazon.com/images/M/MV5BOTY1YTk5ZTQtZTUyZi00MTNjLWFiZmMtZTRkZGQwODFhZDYxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,None
tt8850222,Train to Busan Presents: Peninsula,5.5,https://www.imdb.com/title/tt8850222,24930,"Action, Horror, Thriller","['Dong-won Gang', 'Lee Jung-hyun', 'Re Lee', 'Hae-hyo Kwon']",116,Movie,None,"A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in HK sail thru the blockade to Incheon for USD20,000,000 on a truck.","zombie, zombie-apocalypse, sequel, soldier, united-nations-blue-helmet, boat, second-part, post-apocalypse, south-korea, shudder, truck, money, army, car-chase, night-vision",07 Aug 2020,2020,https://m.media-amazon.com/images/M/MV5BNmIxNTQ4MjgtMzI0Zi00N2I5LWIxZDAtZDFlNzA5N2JiNmZmXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_SX300.jpg,None
tt6048922,Greyhound,7.0,https://www.imdb.com/title/tt6048922,77957,"Action, Drama, History, War","['Tom Hanks', 'Elisabeth Shue', 'Stephen Graham', 'Matt Helm']",91,Movie,None,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.","world-war-two, u-boat, war-at-sea, naval-convoy, battle-of-the-atlantic, u.s.-navy, north-atlantic, 1940s, convoy, depth-charge, naval-uniform, naval-warfare, u-boat-wolf-pack, naval-escort, anti-submarine-warfare",10 Jul 2020,2020,https://m.media-amazon.com/images/M/MV5BZTFkZjYxNWItZmE2MC00MGE4LWIxYTgtZmIzOWM1YmI2YWEzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,None
